overall,potential,wage_eur,age,height_cm,weight_kg,international_reputation,pace,shooting,passing,dribbling,defending,physic,contribution_type,league_name,club_name,name,attacking,skill,movement,power,mentality,goalkeeping
93.0,93.0,320000.0,34.0,170.0,72.0,5.0,85.0,92.0,91.0,95.0,28.25,65.0,1.0,French Ligue 1,Paris Saint-Germain,L. Messi,85.8,94.0,90.2,77.8,73.83333333333333,17.516666666666666
92.0,92.0,270000.0,32.0,185.0,81.0,5.0,78.0,92.0,79.0,86.0,35.0,82.0,1.0,German 1. Bundesliga,FC Bayern München,R. Lewandowski,86.0,81.4,81.6,84.8,80.66666666666667,17.016666666666666
91.0,91.0,270000.0,36.0,187.0,83.0,5.0,87.0,94.0,80.0,88.0,28.5,75.0,1.0,English Premier League,Manchester United,Cristiano Ronaldo,87.6,83.6,85.4,87.2,74.33333333333333,18.183333333333334
91.0,91.0,270000.0,29.0,175.0,68.0,5.0,91.0,83.0,86.0,94.0,33.25,63.0,1.0,French Ligue 1,Paris Saint-Germain,Neymar Jr,80.6,89.2,90.2,71.8,77.0,18.349999999999998
91.0,91.0,350000.0,30.0,181.0,70.0,4.0,76.0,86.0,93.0,88.0,62.5,78.0,1.0,English Premier League,Manchester City,K. De Bruyne,81.4,88.0,80.0,81.6,82.66666666666667,17.849999999999998
91.0,95.0,230000.0,22.0,182.0,73.0,4.0,97.0,88.0,80.0,92.0,32.0,77.0,1.0,French Ligue 1,Paris Saint-Germain,K. Mbappé,82.2,80.8,92.4,82.2,73.5,15.516666666666666
90.0,90.0,86000.0,35.0,193.0,93.0,5.0,72.0,67.3,72.4,78.2,24.8,72.3,0.0,German 1. Bundesliga,FC Bayern München,M. Neuer,24.8,33.8,57.4,56.8,43.0,83.33333333333333
90.0,90.0,240000.0,27.0,188.0,89.0,4.0,70.0,91.0,83.0,83.0,42.75,83.0,1.0,English Premier League,Tottenham Hotspur,H. Kane,86.6,80.4,74.4,84.8,81.16666666666667,17.516666666666666
90.0,90.0,230000.0,30.0,168.0,70.0,4.0,78.0,66.0,75.0,82.0,89.0,83.0,1.0,English Premier League,Chelsea,N. Kanté,65.0,67.4,84.8,76.4,78.66666666666667,17.516666666666666
89.0,89.0,220000.0,28.0,183.0,78.0,4.0,88.0,87.0,82.0,86.0,40.0,69.0,1.0,English Premier League,Tottenham Hotspur,H. Son,80.2,80.8,86.0,77.8,72.83333333333333,17.349999999999998
89.0,89.0,230000.0,29.0,193.0,92.0,4.0,78.0,60.0,71.0,72.0,90.25,84.0,0.0,English Premier League,Liverpool,V. van Dijk,63.2,72.4,71.0,79.2,72.83333333333333,18.183333333333334
89.0,89.0,270000.0,29.0,175.0,69.0,4.0,91.0,83.0,80.0,89.0,41.5,77.0,1.0,English Premier League,Liverpool,S. Mané,81.4,78.0,91.0,81.4,73.16666666666667,17.849999999999998
89.0,89.0,270000.0,29.0,175.0,71.0,4.0,90.0,87.0,81.0,90.0,41.75,75.0,1.0,English Premier League,Liverpool,M. Salah,78.8,81.2,90.8,79.0,78.0,18.849999999999998
89.0,91.0,200000.0,27.0,188.0,86.0,3.0,76.9,72.6,78.5,82.7,28.85,71.6,0.0,English Premier League,Manchester City,Ederson,25.4,32.8,64.6,54.6,46.0,83.66666666666667
89.0,90.0,160000.0,26.0,177.0,75.0,4.0,70.0,73.0,86.0,84.0,83.0,79.0,0.0,German 1. Bundesliga,FC Bayern München,J. Kimmich,77.4,80.8,79.6,80.6,77.83333333333333,18.516666666666666
89.0,90.0,190000.0,28.0,191.0,91.0,3.0,74.5,69.1,78.0,81.0,30.425,74.5,0.0,English Premier League,Liverpool,Alisson,24.8,27.6,53.4,47.8,34.166666666666664,81.16666666666667
89.0,93.0,110000.0,22.0,196.0,90.0,3.0,79.6,75.7,74.9,82.2,27.875,76.6,0.0,French Ligue 1,Paris Saint-Germain,G. Donnarumma,16.0,23.6,58.4,51.0,37.0,80.0
88.0,88.0,115000.0,35.0,184.0,82.0,4.0,70.0,70.0,76.0,74.0,88.0,84.0,0.0,French Ligue 1,Paris Saint-Germain,Sergio Ramos,74.8,76.2,75.0,79.6,83.5,16.0
88.0,88.0,260000.0,28.0,191.0,94.0,4.0,84.0,87.0,74.0,78.0,35.0,83.0,1.0,English Premier League,Chelsea,R. Lukaku,81.8,74.8,74.2,81.0,72.66666666666667,17.516666666666666
88.0,89.0,250000.0,26.0,179.0,69.0,3.0,75.0,86.0,89.0,84.0,70.0,77.0,1.0,English Premier League,Manchester United,Bruno Fernandes,82.4,86.4,80.0,82.4,83.16666666666667,19.016666666666666
88.0,93.0,110000.0,20.0,194.0,94.0,4.0,89.0,91.0,65.0,80.0,40.5,88.0,1.0,German 1. Bundesliga,Borussia Dortmund,E. Haaland,75.0,70.6,82.2,86.0,74.66666666666667,17.0
87.0,87.0,125000.0,34.0,188.0,82.0,4.0,73.2,64.9,74.9,77.0,31.375,74.6,0.0,English Premier League,Tottenham Hotspur,H. Lloris,18.8,23.0,63.4,44.2,37.166666666666664,78.5
87.0,87.0,140000.0,31.0,185.0,76.0,4.0,67.0,84.0,83.0,80.0,51.5,71.0,1.0,German 1. Bundesliga,FC Bayern München,T. Müller,84.6,76.0,74.2,77.8,75.83333333333333,17.05
87.0,87.0,220000.0,28.0,191.0,84.0,4.0,71.0,81.0,86.0,86.0,63.5,83.0,0.0,English Premier League,Manchester United,P. Pogba,79.6,87.4,72.6,84.4,80.16666666666667,11.85
87.0,87.0,155000.0,28.0,165.0,60.0,3.0,64.0,61.0,87.0,91.0,80.75,67.0,1.0,French Ligue 1,Paris Saint-Germain,M. Verratti,70.6,84.2,80.0,63.0,83.16666666666667,19.183333333333334
87.0,90.0,135000.0,27.0,183.0,75.0,3.0,81.0,53.0,75.0,74.0,89.0,81.0,0.0,French Ligue 1,Paris Saint-Germain,Marquinhos,65.2,64.6,77.0,72.6,74.83333333333333,16.166666666666668
87.0,88.0,140000.0,26.0,189.0,82.0,4.0,81.0,82.0,82.0,84.0,79.25,86.0,0.0,German 1. Bundesliga,FC Bayern München,L. Goretzka,79.6,81.2,79.2,85.2,79.66666666666667,17.716666666666665
87.0,88.0,175000.0,27.0,178.0,64.0,3.0,84.0,61.0,81.0,81.0,82.5,76.0,0.0,English Premier League,Liverpool,A. Robertson,64.8,78.6,81.0,72.6,77.16666666666667,16.849999999999998
87.0,92.0,150000.0,22.0,180.0,69.0,3.0,79.0,68.0,88.0,80.0,80.5,72.0,0.0,English Premier League,Liverpool,T. Alexander-Arnold,73.8,85.2,77.0,74.8,76.0,17.849999999999998
87.0,91.0,150000.0,21.0,180.0,76.0,3.0,81.0,76.0,82.0,91.0,34.75,65.0,1.0,English Premier League,Manchester United,J. Sancho,74.6,80.2,85.8,66.8,66.83333333333333,17.183333333333334
87.0,91.0,170000.0,24.0,187.0,82.0,3.0,61.0,38.0,65.0,68.0,88.0,88.0,0.0,English Premier League,Manchester City,Rúben Dias,56.6,61.2,64.8,70.0,65.5,16.349999999999998
86.0,86.0,95000.0,32.0,191.0,96.0,4.0,56.0,59.0,77.0,73.0,88.75,77.0,0.0,German 1. Bundesliga,Borussia Dortmund,M. Hummels,70.6,70.6,64.4,68.4,75.66666666666667,15.283333333333333
86.0,86.0,180000.0,30.0,174.0,70.0,3.0,63.0,72.0,86.0,90.0,69.0,66.0,1.0,English Premier League,Liverpool,Thiago,74.4,86.6,78.4,72.2,79.5,16.183333333333334
86.0,87.0,88000.0,29.0,197.0,86.0,3.0,72.7,71.5,75.4,79.3,26.85,72.5,0.0,German 1. Bundesliga,VfL Wolfsburg,K. Casteels,18.4,21.4,53.2,50.4,27.666666666666668,77.33333333333333
86.0,88.0,180000.0,28.0,191.0,81.0,3.0,82.0,49.0,64.0,65.0,87.0,82.0,0.0,English Premier League,Manchester United,R. Varane,58.8,61.4,69.8,69.6,67.5,16.849999999999998
86.0,86.0,220000.0,30.0,179.0,67.0,3.0,81.0,79.0,81.0,90.0,34.0,60.0,1.0,English Premier League,Manchester City,R. Mahrez,73.8,84.0,84.8,69.2,67.5,17.516666666666666
86.0,86.0,180000.0,34.0,179.0,74.0,3.0,85.0,84.0,70.0,80.0,50.75,73.0,1.0,English Premier League,Leicester City,J. Vardy,79.2,69.6,82.6,75.2,79.5,18.849999999999998
86.0,88.0,165000.0,27.0,188.0,78.0,3.0,67.0,69.0,78.0,78.0,85.75,83.0,0.0,English Premier League,Liverpool,Fabinho,68.8,73.0,69.4,79.0,81.83333333333333,16.349999999999998
86.0,87.0,185000.0,27.0,182.0,74.0,3.0,85.0,71.0,83.0,84.0,80.25,72.0,0.0,English Premier League,Manchester City,João Cancelo,74.6,80.2,82.6,75.8,74.5,18.183333333333334
86.0,89.0,185000.0,27.0,191.0,85.0,3.0,63.0,50.0,72.0,69.0,86.25,80.0,0.0,English Premier League,Manchester City,A. Laporte,61.8,70.2,66.0,70.2,69.16666666666667,16.016666666666666
86.0,89.0,175000.0,25.0,191.0,82.0,3.0,61.0,70.0,77.0,78.0,81.75,82.0,0.0,English Premier League,Manchester City,Rodri,69.8,72.4,66.4,80.0,74.0,16.683333333333334
85.0,85.0,115000.0,34.0,189.0,89.0,2.0,76.8,72.9,75.1,81.2,25.8,75.8,0.0,English Premier League,Leicester City,K. Schmeichel,21.0,25.2,57.2,46.4,36.666666666666664,77.0
85.0,85.0,40000.0,32.0,183.0,79.0,3.0,73.4,57.9,65.4,72.6,24.225,70.1,0.0,German 1. Bundesliga,Borussia Mönchengladbach,Y. Sommer,16.8,19.2,59.4,52.2,36.5,77.66666666666667
85.0,85.0,87000.0,31.0,191.0,86.0,3.0,75.4,70.3,74.8,80.4,30.25,70.8,0.0,German 1. Bundesliga,RB Leipzig,P. Gulácsi,18.8,20.8,50.0,49.0,30.166666666666668,76.0
85.0,85.0,185000.0,30.0,180.0,80.0,3.0,65.0,80.0,85.0,86.0,72.75,72.0,1.0,English Premier League,Manchester City,İ. Gündoğan,74.2,85.2,74.2,73.6,80.5,16.516666666666666
85.0,85.0,95000.0,32.0,180.0,71.0,4.0,73.0,84.0,84.0,85.0,47.75,63.0,1.0,German 1. Bundesliga,Borussia Dortmund,M. Reus,76.6,84.6,79.6,74.0,72.0,18.45
85.0,85.0,170000.0,31.0,183.0,83.0,3.0,92.0,63.0,76.0,78.0,81.0,82.0,0.0,English Premier League,Manchester City,K. Walker,67.6,76.8,80.6,80.8,73.16666666666667,18.016666666666666
85.0,85.0,145000.0,32.0,187.0,80.0,3.0,89.0,85.0,75.0,80.0,30.0,69.0,1.0,English Premier League,Arsenal,P. Aubameyang,79.6,76.2,81.6,77.6,71.33333333333333,16.516666666666666
85.0,85.0,185000.0,29.0,181.0,76.0,3.0,77.0,78.0,79.0,89.0,55.0,78.0,1.0,English Premier League,Liverpool,Roberto Firmino,79.2,80.2,82.2,79.4,76.33333333333333,15.85
85.0,85.0,170000.0,29.0,180.0,68.0,2.0,55.0,67.0,86.0,81.0,73.0,73.0,1.0,English Premier League,Chelsea,Jorginho,71.6,81.2,68.4,68.8,81.5,17.849999999999998
85.0,86.0,110000.0,25.0,176.0,77.0,4.0,83.0,84.0,79.0,86.0,43.75,69.0,1.0,German 1. Bundesliga,FC Bayern München,S. Gnabry,73.4,77.0,85.6,76.0,69.66666666666667,16.666666666666668
85.0,88.0,120000.0,24.0,183.0,74.0,1.0,67.0,62.0,69.0,74.0,87.25,83.0,0.0,English Premier League,Leicester City,W. Ndidi,64.2,68.8,71.2,81.6,74.66666666666667,17.333333333333332
85.0,88.0,100000.0,22.0,181.0,73.0,2.0,95.0,71.0,78.0,83.0,76.25,78.0,0.0,French Ligue 1,Paris Saint-Germain,A. Hakimi,73.6,72.6,87.8,78.2,72.0,15.950000000000001
84.0,84.0,115000.0,30.0,175.0,74.0,3.0,77.0,75.0,80.0,86.0,77.0,79.0,1.0,French Ligue 1,Paris Saint-Germain,G. Wijnaldum,77.0,81.0,82.4,79.8,78.83333333333333,17.333333333333332
84.0,84.0,140000.0,31.0,182.0,80.0,3.0,66.0,74.0,83.0,79.0,78.5,81.0,1.0,English Premier League,Liverpool,J. Henderson,75.2,80.4,71.0,78.8,78.0,16.55
84.0,84.0,120000.0,30.0,192.0,82.0,4.0,74.4,69.5,77.0,79.9,31.05,73.3,0.0,English Premier League,Manchester United,De Gea,22.4,27.8,60.8,46.8,38.833333333333336,77.33333333333333
84.0,84.0,88000.0,30.0,170.0,68.0,2.0,82.0,84.0,77.0,87.0,33.0,70.0,1.0,French Ligue 1,AS Monaco,W. Ben Yedder,80.4,79.6,86.4,76.0,74.33333333333333,15.066666666666668
84.0,84.0,110000.0,27.0,178.0,74.0,2.0,79.0,69.0,80.0,80.0,81.25,76.0,0.0,English Premier League,Everton,L. Digne,73.6,80.2,78.6,81.6,74.5,16.0
84.0,85.0,81000.0,28.0,195.0,88.0,3.0,58.1,62.6,68.9,68.3,30.4,79.0,0.0,English Premier League,Aston Villa,E. Martínez,25.4,28.2,58.8,49.6,38.333333333333336,79.33333333333333
84.0,86.0,155000.0,28.0,194.0,100.0,3.0,50.0,55.0,69.0,70.0,83.25,87.0,0.0,English Premier League,Manchester United,H. Maguire,62.2,65.0,55.0,76.8,71.66666666666667,18.849999999999998
84.0,86.0,140000.0,25.0,181.0,75.0,2.0,79.0,54.0,79.0,80.0,81.5,80.0,0.0,English Premier League,Manchester United,L. Shaw,69.0,73.6,78.2,73.2,74.83333333333333,16.55
84.0,85.0,180000.0,25.0,180.0,81.0,3.0,80.0,76.0,83.0,88.0,46.5,64.0,1.0,English Premier League,Manchester City,J. Grealish,70.2,82.2,81.6,66.6,69.33333333333333,17.016666666666666
84.0,85.0,45000.0,27.0,191.0,86.0,3.0,62.0,58.0,72.0,66.0,85.25,79.0,0.0,German 1. Bundesliga,Borussia Mönchengladbach,M. Ginter,67.8,60.0,62.6,71.2,70.5,15.25
84.0,84.0,52000.0,28.0,184.0,82.0,3.0,88.0,77.0,82.0,83.0,69.25,80.0,1.0,German 1. Bundesliga,Eintracht Frankfurt,F. Kostić,75.0,80.2,82.8,79.4,74.5,18.633333333333333
84.0,84.0,79000.0,27.0,170.0,71.0,3.0,75.0,77.0,85.0,88.0,78.0,58.0,0.0,German 1. Bundesliga,Borussia Dortmund,R. Guerreiro,74.2,84.8,83.0,68.2,71.5,15.633333333333333
84.0,84.0,130000.0,27.0,175.0,70.0,3.0,83.0,67.0,78.0,82.0,81.75,75.0,0.0,English Premier League,Leicester City,Ricardo Pereira,71.2,74.2,81.8,73.2,75.5,19.166666666666668
84.0,87.0,125000.0,24.0,176.0,72.0,2.0,63.0,79.0,86.0,80.0,70.75,72.0,0.0,English Premier League,Leicester City,Y. Tielemans,78.0,82.2,70.6,77.8,78.0,16.666666666666668
84.0,87.0,105000.0,25.0,183.0,80.0,3.0,90.0,81.0,79.0,85.0,35.25,68.0,1.0,German 1. Bundesliga,FC Bayern München,L. Sané,80.4,80.0,84.4,73.4,69.0,17.0
84.0,85.0,110000.0,25.0,185.0,84.0,3.0,74.0,84.0,69.0,83.0,35.5,77.0,1.0,German 1. Bundesliga,RB Leipzig,André Silva,79.2,68.2,77.2,80.8,78.16666666666667,17.166666666666668
83.0,83.0,125000.0,31.0,178.0,77.0,3.0,66.0,55.0,76.0,72.0,84.5,76.0,0.0,English Premier League,Chelsea,Azpilicueta,66.6,70.2,71.6,71.6,74.83333333333333,15.5
83.0,83.0,55000.0,31.0,192.0,83.0,3.0,67.9,59.5,68.7,71.8,24.3,72.6,0.0,German 1. Bundesliga,Bayer 04 Leverkusen,L. Hrádecký,14.4,17.8,49.2,44.8,29.833333333333332,73.66666666666667
83.0,84.0,87000.0,29.0,190.0,83.0,3.0,75.4,70.3,74.8,80.4,30.0,70.8,0.0,English Premier League,Arsenal,B. Leno,18.2,23.2,57.0,51.4,33.5,77.33333333333333
83.0,83.0,130000.0,29.0,194.0,90.0,2.0,58.0,46.0,68.0,68.0,84.5,78.0,0.0,English Premier League,Liverpool,J. Matip,60.2,60.0,58.4,67.8,68.66666666666667,17.166666666666668
83.0,83.0,100000.0,30.0,175.0,74.0,2.0,72.0,71.0,77.0,82.0,82.75,79.0,0.0,English Premier League,Everton,Allan,68.0,72.0,78.6,73.6,76.5,15.616666666666667
83.0,83.0,83000.0,28.0,179.0,85.0,2.0,73.0,85.0,79.0,80.0,36.75,86.0,1.0,French Ligue 1,AS Monaco,K. Volland,81.2,78.6,77.8,85.0,75.16666666666667,15.5
83.0,83.0,45000.0,29.0,199.0,76.0,1.0,67.8,60.9,66.2,70.0,25.675,74.7,0.0,English Premier League,Burnley,N. Pope,16.4,19.8,50.6,51.0,33.333333333333336,75.83333333333333
83.0,83.0,120000.0,30.0,188.0,81.0,3.0,72.0,82.0,76.0,81.0,40.0,82.0,1.0,English Premier League,Wolverhampton Wanderers,R. Jiménez,81.0,73.4,73.0,79.6,78.16666666666667,17.5
83.0,85.0,83000.0,27.0,185.0,77.0,3.0,68.4,68.1,70.8,75.2,27.525,75.9,0.0,English Premier League,Everton,J. Pickford,25.2,28.8,57.4,54.0,44.333333333333336,77.16666666666667
83.0,84.0,130000.0,28.0,190.0,85.0,2.0,75.0,43.0,68.0,64.0,84.25,84.0,0.0,English Premier League,Chelsea,A. Rüdiger,58.2,58.6,67.2,71.4,63.833333333333336,18.166666666666668
83.0,83.0,115000.0,28.0,185.0,77.0,2.0,69.0,71.0,82.0,81.0,81.0,84.0,0.0,English Premier League,Arsenal,T. Partey,70.2,78.2,68.8,82.8,75.83333333333333,16.5
83.0,86.0,105000.0,25.0,185.0,84.0,2.0,60.0,71.0,76.0,76.0,80.25,82.0,1.0,English Premier League,Tottenham Hotspur,P. Højbjerg,67.8,76.0,66.0,78.8,73.33333333333333,16.666666666666668
83.0,83.0,59000.0,30.0,177.0,73.0,3.0,71.0,86.0,76.0,86.0,27.75,71.0,1.0,German 1. Bundesliga,TSG Hoffenheim,A. Kramarić,79.6,78.6,79.4,77.0,71.33333333333333,17.650000000000002
83.0,86.0,77000.0,24.0,175.0,69.0,2.0,78.0,71.0,82.0,84.0,76.75,70.0,0.0,German 1. Bundesliga,RB Leipzig,Angeliño,73.4,81.6,81.6,73.4,75.16666666666667,17.8
83.0,83.0,95000.0,28.0,197.0,84.0,2.0,63.0,83.0,59.0,70.0,48.25,86.0,1.0,German 1. Bundesliga,VfL Wolfsburg,W. Weghorst,76.0,52.8,63.2,82.2,71.33333333333333,18.616666666666667
83.0,87.0,115000.0,23.0,183.0,72.0,2.0,85.0,52.0,69.0,79.0,84.5,75.0,0.0,English Premier League,Manchester United,A. Wan-Bissaka,57.8,66.6,81.8,67.2,69.66666666666667,14.833333333333334
83.0,89.0,120000.0,22.0,178.0,70.0,3.0,74.0,79.0,84.0,83.0,51.75,65.0,1.0,English Premier League,Chelsea,M. Mount,76.2,82.8,77.6,71.4,72.5,17.666666666666668
83.0,85.0,105000.0,29.0,197.0,86.0,2.0,81.1,78.8,75.0,82.8,22.45,74.9,0.0,English Premier League,Chelsea,É. Mendy,14.6,23.4,44.8,42.8,25.833333333333332,73.83333333333333
82.0,82.0,43000.0,36.0,190.0,83.0,2.0,63.9,56.1,66.4,68.6,26.825,72.5,0.0,English Premier League,West Ham United,Ł. Fabiański,15.0,19.6,53.8,46.4,35.166666666666664,74.83333333333333
82.0,82.0,41000.0,32.0,181.0,80.0,3.0,61.0,84.0,81.0,81.0,59.0,73.0,1.0,German 1. Bundesliga,Borussia Mönchengladbach,L. Stindl,78.6,79.4,71.0,77.4,78.16666666666667,16.366666666666667
82.0,82.0,31000.0,30.0,189.0,88.0,3.0,69.0,57.3,67.2,71.7,25.025,71.1,0.0,German 1. Bundesliga,Eintracht Frankfurt,K. Trapp,14.8,14.4,51.6,53.0,31.5,75.5
82.0,82.0,88000.0,31.0,174.0,66.0,2.0,69.0,62.0,71.0,78.0,83.75,77.0,1.0,French Ligue 1,Paris Saint-Germain,I. Gueye,59.0,71.4,76.2,77.6,73.33333333333333,15.9
82.0,82.0,37000.0,31.0,187.0,82.0,2.0,69.3,51.3,59.0,65.3,27.45,73.0,0.0,German 1. Bundesliga,TSG Hoffenheim,O. Baumann,16.4,16.8,53.6,50.6,29.666666666666668,75.0
82.0,82.0,85000.0,28.0,180.0,66.0,2.0,89.0,77.0,73.0,87.0,32.5,75.0,1.0,English Premier League,Crystal Palace,W. Zaha,68.8,71.4,84.0,72.8,68.0,18.5
82.0,83.0,60000.0,30.0,184.0,81.0,2.0,79.5,63.9,69.7,75.5,25.4,72.2,0.0,French Ligue 1,Olympique Lyonnais,A. Lopes,19.6,19.2,67.6,52.4,34.666666666666664,76.83333333333333
82.0,82.0,90000.0,28.0,170.0,67.0,2.0,82.0,65.0,78.0,82.0,77.5,68.0,0.0,French Ligue 1,Paris Saint-Germain,Juan Bernat,69.2,73.2,83.8,68.2,73.33333333333333,17.400000000000002
82.0,87.0,78000.0,25.0,195.0,99.0,3.0,65.0,42.0,59.0,51.0,83.0,81.0,0.0,German 1. Bundesliga,FC Bayern München,N. Süle,50.2,46.4,54.2,66.8,59.166666666666664,17.8
82.0,85.0,100000.0,24.0,175.0,73.0,1.0,75.0,78.0,84.0,84.0,55.0,60.0,1.0,English Premier League,Leicester City,J. Maddison,69.0,84.2,79.0,68.4,72.83333333333333,19.116666666666667
82.0,88.0,89000.0,22.0,178.0,68.0,3.0,77.0,74.0,83.0,84.0,55.75,62.0,1.0,English Premier League,Arsenal,M. Ødegaard,73.0,83.0,79.4,66.6,71.5,18.400000000000002
82.0,87.0,89000.0,24.0,180.0,80.0,2.0,59.0,75.0,85.0,77.0,74.25,73.0,1.0,English Premier League,Wolverhampton Wanderers,Rúben Neves,73.4,82.4,67.8,76.6,78.66666666666667,17.400000000000002
82.0,88.0,120000.0,22.0,177.0,69.0,3.0,89.0,70.0,73.0,86.0,38.5,59.0,1.0,English Premier League,Chelsea,C. Pulisic,68.8,71.8,86.2,68.6,63.0,18.833333333333332
82.0,90.0,70000.0,22.0,186.0,90.0,2.0,81.0,43.0,62.0,68.0,83.25,81.0,0.0,German 1. Bundesliga,FC Bayern München,D. Upamecano,54.4,54.0,72.6,68.0,62.5,15.9
82.0,87.0,100000.0,24.0,181.0,71.0,3.0,83.0,78.0,73.0,83.0,51.0,80.0,1.0,English Premier League,Everton,Richarlison,78.0,73.8,80.0,79.8,74.16666666666667,16.783333333333335
82.0,87.0,89000.0,24.0,176.0,68.0,2.0,91.0,76.0,76.0,84.0,46.5,72.0,1.0,English Premier League,Leeds United,Raphinha,69.0,79.0,86.0,75.8,73.33333333333333,16.400000000000002
82.0,87.0,69000.0,22.0,185.0,80.0,1.0,66.0,53.0,71.0,74.0,81.0,79.0,0.0,English Premier League,West Ham United,D. Rice,57.0,69.0,64.6,72.8,74.16666666666667,16.233333333333334
82.0,89.0,59000.0,20.0,183.0,75.0,3.0,96.0,67.0,71.0,82.0,76.25,75.0,0.0,German 1. Bundesliga,FC Bayern München,A. Davies,69.0,66.6,88.0,72.4,72.0,15.816666666666668
82.0,87.0,36000.0,24.0,185.0,74.0,2.0,64.0,72.0,79.0,82.0,66.0,67.0,0.0,German 1. Bundesliga,Borussia Mönchengladbach,F. Neuhaus,67.4,74.6,73.8,71.2,68.83333333333333,16.233333333333334
82.0,85.0,81000.0,26.0,192.0,86.0,1.0,64.0,72.0,74.0,74.0,81.0,85.0,0.0,English Premier League,West Ham United,T. Souček,73.0,68.6,66.4,81.8,75.66666666666667,15.299999999999999
